1	"2023/06/21 20:46 Message from the CEO | KIOXIA - Japan (English) https://www.kioxia.com/en-jp/about/message.html 1/1 Message from the CEO Developing World-leading Technology to Unleash the Potential of “Memory” KIOXIA re�ects the company’s mission to ""uplift the world with ‘memory."	data/Message from the CEO _ KIOXIA - Japan (English).pdf
2	"’"" When we say ""memory,"" we mean much more than simply recorded data. To us, it represents the comprehensive collection of emotions, experiences and ideas beyond digital information gathering. As KIOXIA, we will create new value in the memory space, changing the world through innovative solutions. From the invention of NAND �ash memory in 1987, to pioneering the development of 3D �ash memory, we have always been leading the charge into new eras of"	data/Message from the CEO _ KIOXIA - Japan (English).pdf
3	 memory. Today, we deliver �ash memory and solid-state drives (SSD) which power crucial information infrastructure, including data centers, smartphones, PCs and electronic devices essential to people’s lives across the globe. As our digital society and technological innovation continues to move forward, the amount of data being generated, stored and utilized is increasing exponentially, leading to a new era of memory. As KIOXIA, we will lead this new era by	data/Message from the CEO _ KIOXIA - Japan (English).pdf
4	 leveraging our creative technology to further enrich people’s lives and expand possibilities within society through innovative memory solutions. Together, we have an exciting journey ahead. Nobuo Hayasaka President and CEO KIOXIA Corporation Copyright © 2023 KIOXIA Corporation. All Rights Reserved. About KIOXIA Corporation Message from the CEO Company Information Group Companies Locations Procurement Reliability Information Yokkaichi	data/Message from the CEO _ KIOXIA - Japan (English).pdf
5	 Plant Kitakami Plant (KIOXIA Iwate Corporation) KIOXIA Corporation Home / About KIOXIA Corporation / Message from the CEO 	data/Message from the CEO _ KIOXIA - Japan (English).pdf
6	2023/06/21 20:46 KIOXIA at a Glance | KIOXIA Holdings Corporation https://www.kioxia-holdings.com/en-jp/about/glance.html 1/2 KIOXIA at a Glance Introducing the unique strengths of KIOXIA, a global leader in �ash memory and solid state drives. A fresh start as KIOXIA 2019 On October	data/KIOXIA at a Glance _ KIOXIA Holdings Corporation.pdf
7	 1st 2019, Toshiba Memory rebranded itself as KIOXIA and made a fresh start. By evolving “memory,” we create uplifting experiences and help change the world. Flash Memory Market Share Approx. 20% KIOXIA ranked number two in the global �ash memory industry in 2020. We had a 35% market share including that accounted for by Western Digital under our joint venture arrangement. (based on our own	data/KIOXIA at a Glance _ KIOXIA Holdings Corporation.pdf
8	 research) Sales 1,526.5 Billion Yen Kioxia group achieved record revenue in FY21, as sales for data center / enterprise SSD grew supported by investments for cloud and enterprise IT systems, and sales for smartphones grew due to the continuing trend of increasing demand for mobile storage with the 5G transition. Number of employees on a consolidated basis Approx. 15,300 People from various backgrounds ful�ll their potential and	data/KIOXIA at a Glance _ KIOXIA Holdings Corporation.pdf
9	 leverage their strengths. Invented NAND �ash memory 1987 In 1987, KIOXIA invented the world’s �rst NAND �ash memory for data storage. The technology is now being used in applications ranging from smartphones to data centers. In fact, it serves as a foundation of the information society. Based on the audited consolidated �nancial statements prepared under IFRS, FY 2021 ended March 31, 2022 * 	data/KIOXIA at a Glance _ KIOXIA Holdings Corporation.pdf
10	As of March 31, 2023 * What is NAND Flash Memory?  	data/KIOXIA at a Glance _ KIOXIA Holdings Corporation.pdf
11	2023/06/21 20:46 KIOXIA at a Glance | KIOXIA Holdings Corporation https://www.kioxia-holdings.com/en-jp/about/glance.html 2/2 3D Flash Memory BiCS FLASH™ 3D Kioxia announced the world's �rst three-dimensional (3D) �ash memory technology in 2007. Innovations in scaling and CMOS 	data/KIOXIA at a Glance _ KIOXIA Holdings Corporation.pdf
12	placement deliver the highest density* and most advanced 162-layer 3D �ash memory technology to date. KIOXIA group locations 10 Countries and Regions KIOXIA’s e�orts are focused on enhancing technology development, production capabilities and partnerships with customers in order to create a new era of memory. We have global sales and technical support bases that meet the needs of customers worldwide. The site area of Yokkaichi Plant Approx	data/KIOXIA at a Glance _ KIOXIA Holdings Corporation.pdf
13	. 694,000㎡ Kioxia’s Yokkaichi Plant is one of the world’s largest and most e�cient �ash memory production facilities. Through our deployment of advanced manufacturing processes utilizing AI, we continue to meet the increasing demand for memory around the world. Share Copyright © 2023 KIOXIA Holdings Corporation. All Rights Reserved. as of February 2021 * What is the 3D �ash memory	data/KIOXIA at a Glance _ KIOXIA Holdings Corporation.pdf
14	 “BiCS FLASH™”?  Global Network (Locations and Subsidiaries) About Yokkaichi Plant  About KIOXIA Group Messages from the Management Mission & Vision KIOXIA at a Glance Company Information Global Network (Locations and Subsidiaries) Standards of Conduct / Policies KIOXIA Holdings Corporation Home / About KIOXIA Group / KIOX	data/KIOXIA at a Glance _ KIOXIA Holdings Corporation.pdf
15	IA at a Glance 	data/KIOXIA at a Glance _ KIOXIA Holdings Corporation.pdf
16	2023/06/21 20:48 System technology/Development of Image Classification System Deploying Memory-Centric AI with High-capacity Storage | … https://www.kioxia.com/en-jp/rd/technology/topics/topics-39.html 1/3 Development of Image Classi�cation System Deploying Memory-Centric AI with High-capacity Storage January 12, 2023 In deep learning, neural networks can	data/System technology_Development of Image Classification System Deploying Memory-Centric AI with High-capacity Storage _ KIOXIA - Japan (English).pdf
